Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2017,"Grant Massey","CHW","A",24,100,330,357,81,63,16,2,0,34,36,12,0,71,5,4,6,4,5,4,0.245454545,"sa875816"
2019,"Dwanya Williams-Sutton","SDP","A",21,95,305,399,72,51,11,1,9,58,52,60,0,99,32,2,0,6,12,2,0.236065573,"sa875819"
2016,"Kodie Tidwell","SDP","A",21,94,326,389,79,57,16,2,4,45,23,53,1,99,2,1,7,6,7,9,0.242331288,"sa875821"
2016,"Logan Hill","PIT","A",23,93,335,371,85,50,19,5,11,45,40,29,0,97,6,1,0,11,13,6,0.253731343,"sa875822"
2016,"Steve Laurino","BAL","A",23,98,330,378,62,44,14,0,4,33,25,42,0,84,4,2,0,20,0,1,0.187878787,"sa875830"
2016,"Jordan Devencenzi","OAK","A",23,38,114,130,32,26,6,0,0,11,8,12,0,17,1,1,2,3,1,1,0.280701754,"sa875840"
2018,"Jordan Devencenzi","OAK","A",25,81,282,318,75,60,13,1,1,32,25,21,1,40,6,5,4,14,0,2,0.265957446,"sa875840"
2016,"Taylor Munden","MIA","A",22,21,73,78,12,8,3,0,1,8,5,3,0,21,2,0,0,0,0,0,0.164383561,"sa875852"
2016,"Jake Thomas","TOR","A",22,57,213,241,52,41,7,4,0,24,17,24,0,49,2,1,1,3,4,3,0.244131455,"sa875859"
2017,"Jake Thomas","TOR","A",23,37,120,164,33,25,6,2,0,15,16,40,0,33,2,2,0,0,9,3,0.275,"sa875859"
2016,"Ryan Nagle","PIT","A",21,111,396,442,98,75,20,1,2,35,42,36,3,69,2,5,3,12,8,5,0.247474747,"sa875864"
2017,"Ryan Nagle","PIT","A",22,51,169,182,46,36,7,0,3,23,17,10,1,34,1,1,1,1,0,0,0.272189349,"sa875864"
2016,"Stuart Levy","BAL","A",23,28,87,109,17,9,4,0,4,10,6,17,0,24,5,0,0,4,2,1,0.195402298,"sa875870"
2017,"Stuart Levy","BAL","A",24,33,112,126,27,23,4,0,0,10,5,11,0,37,1,1,1,2,0,0,0.241071428,"sa875870"
2019,"Wagner Lagrange","NYM","A",23,71,252,273,71,46,18,3,4,28,31,16,0,47,1,3,1,7,0,1,0.281746031,"sa875875"
2018,"Delvin Zinn","CHC","A",21,59,217,239,62,57,3,1,1,17,21,14,0,37,3,2,3,7,3,6,0.285714285,"sa875884"
2019,"Delvin Zinn","CHC","A",22,64,231,258,63,48,11,2,2,38,14,18,0,58,6,0,3,4,14,3,0.272727272,"sa875884"
2016,"Mitch Ghelfi","MIL","A",23,73,285,315,93,72,15,1,5,44,32,23,0,58,6,1,0,3,3,2,0.326315789,"sa875890"
2017,"Mitch Ghelfi","MIL","A",24,17,57,65,12,8,4,0,0,4,7,3,0,12,3,2,0,2,0,0,0.210526315,"sa875890"
2016,"Ashford Fulmer","SFG","A",23,17,52,59,4,3,0,1,0,5,4,5,0,21,2,0,0,3,3,2,0.076923076,"sa875893"
2017,"Ashford Fulmer","SFG","A",24,70,250,287,59,42,14,2,1,30,22,28,0,54,6,1,2,9,13,3,0.236,"sa875893"
2017,"Albert Baur","PIT","A",25,106,392,442,117,78,31,0,8,56,65,41,0,84,4,5,0,11,0,0,0.298469387,"sa875894"
2016,"Brooks Marlow","HOU","A",23,25,92,102,24,16,5,1,2,11,5,10,0,18,0,0,0,1,0,0,0.260869565,"sa875979"
