#,Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+
375,Mallex Smith,2 Tms,1439,7.90%,21.80%,0.36,0.258,0.326,0.36,0.687,0.102,8.1,0.333,8.8,1.1,11.6,9,154,-20.8,0.302,91
376,Will Brennan,CLE,853,4.30%,12.80%,0.34,0.27,0.308,0.377,0.685,0.107,4.4,0.297,0.2,1.2,-0.1,-1,90,-12.1,0.298,91
377,Jonah Bride,2 Tms,565,10.60%,19.30%,0.55,0.232,0.325,0.342,0.667,0.11,1.6,0.27,-2.2,-0.9,-1.7,-1.6,60,-6,0.299,91
378,Chris Davis,BAL,524,11.60%,37.20%,0.31,0.215,0.309,0.423,0.732,0.208,2.7,0.301,-1.3,0.9,-2.2,-0.5,60,-3.9,0.312,91
379,Nicky Delmonico,CHW,574,9.80%,24.00%,0.41,0.224,0.312,0.384,0.696,0.159,4,0.272,-0.6,-1.5,0.9,-1,63,-6.2,0.304,91
380,Manny Piña,MIL,696,5.90%,20.30%,0.29,0.266,0.317,0.41,0.727,0.145,3.9,0.312,-3.1,-2.2,-2.9,0.4,80,-3.2,0.312,91
381,Santiago Espinal,2 Tms,1448,7.20%,14.10%,0.51,0.266,0.321,0.364,0.685,0.099,3.6,0.299,3.2,-0.3,1.5,-0.5,158,-12.8,0.302,91
382,Harrison Bader,4 Tms,2545,6.90%,23.90%,0.29,0.242,0.306,0.392,0.698,0.15,6.3,0.295,9.4,5.2,9.7,5.6,276,-29.5,0.301,90
383,Jonathan Villar,7 Tms,2597,8.20%,26.60%,0.31,0.252,0.315,0.393,0.708,0.141,6,0.325,10.1,2,5.8,10.8,294,-21.8,0.307,90
384,Aaron Altherr,3 Tms,763,9.30%,28.80%,0.32,0.222,0.305,0.419,0.724,0.197,4.9,0.282,0.6,-2.3,1.1,-1.3,87,-4.9,0.311,90
385,Dwight Smith Jr.,2 Tms,568,7.20%,21.80%,0.33,0.248,0.31,0.416,0.726,0.168,4.9,0.292,-0.6,-0.3,0.8,0.7,65,-5.2,0.309,90
386,Daniel Palka,CHW,542,7.00%,34.70%,0.2,0.218,0.277,0.433,0.71,0.216,3.5,0.282,-0.5,-0.1,-1,-0.7,58,-6.5,0.302,90
387,Masyn Winn,STL,774,6.60%,17.40%,0.38,0.251,0.299,0.385,0.684,0.134,5.1,0.285,0.6,0.8,3.6,-1.2,82,-9.5,0.297,90
388,Mike Tauchman,3 Tms,667,12.00%,27.00%,0.44,0.231,0.326,0.378,0.704,0.147,5.3,0.304,2.3,-0.7,2.4,0.8,76,-6.1,0.307,90
389,Phillip Ervin,2 Tms,660,8.50%,24.20%,0.35,0.247,0.322,0.406,0.728,0.159,6.2,0.308,4.2,0.2,2,0.5,78,-2.4,0.314,90
390,Bobby Dalbec,BOS,1044,7.60%,36.80%,0.21,0.222,0.29,0.425,0.714,0.203,5,0.313,-2.8,3.1,-0.6,0.9,120,-4.4,0.307,90
391,Yan Gomes,2 Tms,1176,7.70%,25.70%,0.3,0.242,0.312,0.415,0.727,0.173,2,0.297,-3.1,0.1,-3.4,-0.2,135,-7.4,0.311,90
392,Bryan De La Cruz,2 Tms,1822,5.80%,25.00%,0.23,0.253,0.297,0.407,0.704,0.155,2.9,0.309,-1.4,-3.2,-4.8,-1.4,203,-13.4,0.304,90
393,Victor Robles,2 Tms,2096,6.20%,22.50%,0.28,0.247,0.321,0.37,0.691,0.122,6.7,0.311,1.6,3.2,6.1,6.9,232,-21.4,0.303,90
394,Luis Guillorme,4 Tms,1010,11.30%,16.50%,0.68,0.251,0.336,0.322,0.658,0.071,3.2,0.303,-1.7,-3.5,-0.5,-1.4,105,-14.2,0.296,90
395,Johan Camargo,3 Tms,1359,7.40%,20.90%,0.35,0.254,0.313,0.407,0.72,0.153,2.7,0.301,-0.4,0.2,1,-0.9,154,-8.7,0.309,90
