#,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
47,Vidal Bruján,TBR,A,20-20,434,11.10%,12.20%,0.91,0.313,0.395,0.427,0.822,0.114,8.1,0.351,2.4,69,18.9,0.381,138
48,Tyler Freeman,CLE,A,20-20,272,6.60%,10.30%,0.64,0.292,0.382,0.424,0.806,0.131,7.4,0.32,0.5,43,12,0.381,138
49,Brennon Lund,LAA,A,22-22,201,11.90%,12.90%,0.92,0.306,0.4,0.428,0.828,0.121,7.5,0.352,1.6,33,8.9,0.38,138
50,Jeremy Peña,HOU,A,21-21,289,12.10%,19.70%,0.61,0.293,0.389,0.421,0.81,0.128,7.4,0.357,0.8,46,12.7,0.38,138
51,Anthony Jimenez,SEA,A,21-21,256,7.40%,28.50%,0.26,0.298,0.362,0.482,0.845,0.184,7.9,0.407,0.7,42,11.4,0.38,138
52,Taylor Walls,TBR,A,21-21,540,12.20%,14.80%,0.83,0.304,0.393,0.428,0.821,0.124,6.9,0.354,1.2,85,23,0.38,137
53,Royce Lewis,MIN,A,18-19,407,7.40%,16.00%,0.46,0.311,0.367,0.467,0.834,0.156,6.3,0.351,2.9,64,17,0.378,136
54,Hunter Feduccia,LAD,A,21-22,342,14.90%,21.30%,0.7,0.289,0.393,0.419,0.812,0.13,3.5,0.368,0.3,54,14.2,0.378,136
55,Thomas Dillard,MIL,A,21-21,216,19.90%,23.10%,0.86,0.246,0.398,0.386,0.784,0.14,4.4,0.31,1.3,34,9.1,0.378,137
56,Zack Short,CHC,A,22-22,300,18.00%,18.00%,1,0.237,0.393,0.424,0.816,0.186,7.2,0.278,0.9,48,12.8,0.378,136
57,Iván Herrera,STL,A,19-19,291,12.00%,19.20%,0.63,0.286,0.381,0.423,0.805,0.137,2.3,0.337,-0.3,46,12.2,0.378,136
58,Monte Harrison,MIL,A,21-21,261,11.10%,26.80%,0.41,0.265,0.359,0.475,0.834,0.211,5.4,0.333,1,42,11,0.377,136
59,Stefan Trosclair,STL,A,22-22,481,11.60%,23.10%,0.5,0.272,0.374,0.458,0.832,0.186,6.3,0.335,1.1,77,20.2,0.377,136
60,Marcus Wilson,ARI,A,20-20,447,12.30%,20.10%,0.61,0.295,0.383,0.446,0.829,0.151,5.8,0.361,0.1,71,18.6,0.376,135
61,Mark Karaviotis,ARI,A,21-21,236,8.90%,22.90%,0.39,0.307,0.398,0.411,0.809,0.104,4.3,0.405,0.2,37,9.7,0.376,135
62,Xavier Edwards,SDP,A,19-19,344,8.70%,10.20%,0.86,0.336,0.392,0.414,0.805,0.078,6.2,0.371,0.2,53,13.8,0.375,135
63,Gabriel Moreno,TOR,A,19-19,341,6.50%,11.10%,0.58,0.28,0.337,0.485,0.823,0.205,6.7,0.282,0.9,53,13.5,0.374,134
64,Evan Edwards,MIA,A,22-22,288,9.70%,25.70%,0.38,0.285,0.361,0.441,0.803,0.156,3.9,0.371,0.5,45,11.4,0.374,134
65,Ronaldo Hernández,TBR,A,20-20,449,6.90%,15.40%,0.45,0.284,0.339,0.494,0.832,0.21,4.7,0.292,0.3,69,17.1,0.374,133
66,Jim Haley,TBR,A,22-23,437,4.30%,15.80%,0.28,0.323,0.359,0.463,0.822,0.14,5.8,0.367,2.1,67,16.3,0.372,132
67,Miguel Vargas,LAD,A,18-19,412,10.90%,15.30%,0.71,0.301,0.38,0.42,0.799,0.118,5.6,0.347,1.2,63,15.3,0.372,132
68,Pat McInerney,MIL,A,23-23,230,16.10%,29.60%,0.54,0.23,0.362,0.444,0.806,0.214,4.8,0.297,-0.3,35,8.4,0.372,132
69,Marcus Greene Jr.,SDP,A,22-22,333,12.00%,17.70%,0.68,0.27,0.366,0.46,0.826,0.189,3,0.303,-0.2,52,12.7,0.372,132
70,Moisés Gómez,TBR,A,19-19,516,6.60%,26.60%,0.25,0.28,0.328,0.503,0.831,0.223,5.1,0.35,-0.5,78,18.5,0.371,131
71,Otto Lopez,TOR,A,20-20,492,6.90%,12.80%,0.54,0.324,0.371,0.425,0.796,0.101,5.6,0.365,-2.3,75,18,0.37,132
72,Brock Lundquist,TOR,A,22-22,292,11.30%,23.30%,0.49,0.249,0.356,0.461,0.817,0.212,2.8,0.286,0.1,44,10.3,0.37,131
73,Taylor Trammell,CIN,A,19-19,571,12.40%,21.50%,0.58,0.281,0.368,0.45,0.819,0.169,7.7,0.345,3.3,88,20.9,0.37,131
74,Brendan Donovan,STL,A,22-22,480,13.10%,19.00%,0.69,0.266,0.377,0.405,0.783,0.139,4.5,0.322,-0.2,73,17.3,0.37,131
75,Ford Proctor,TBR,A,22-22,536,12.90%,16.80%,0.77,0.29,0.383,0.402,0.785,0.111,4.3,0.346,-1.3,81,19.3,0.37,131
76,Jacob Robson,DET,A,22-22,267,11.60%,22.10%,0.53,0.329,0.408,0.395,0.803,0.066,4,0.435,-2.7,41,9.7,0.37,131
77,Nathaniel Lowe,TBR,A,21-21,269,13.40%,19.70%,0.68,0.293,0.387,0.415,0.801,0.122,1.6,0.356,-0.4,41,9.7,0.369,131
78,Gabe Snyder,MIN,A,24-24,481,9.10%,22.70%,0.4,0.259,0.338,0.462,0.8,0.203,4.8,0.303,-0.2,73,17.1,0.369,131
79,Jesús Sánchez,TBR,A,19-19,512,6.30%,17.80%,0.35,0.305,0.348,0.478,0.826,0.173,5.6,0.349,0.6,79,18.3,0.369,130
80,Edward Olivares,TOR,A,21-21,464,4.70%,17.70%,0.27,0.277,0.33,0.5,0.83,0.223,8.2,0.306,0.7,71,16.5,0.369,130
81,Chavez Young,TOR,A,20-20,537,10.80%,18.60%,0.58,0.285,0.363,0.445,0.808,0.16,8.5,0.344,3.4,80,18.2,0.368,129
82,Trey Hair,TBR,A,23-23,243,7.40%,17.30%,0.43,0.29,0.362,0.438,0.8,0.147,6.1,0.347,-0.3,36,8.2,0.368,129
83,Yariel Gonzalez,STL,A,24-24,434,7.10%,13.40%,0.53,0.311,0.357,0.458,0.815,0.147,3.1,0.336,0.1,65,14.5,0.368,129
84,Hendrik Clementina,CIN,A,21-21,376,8.00%,26.30%,0.3,0.268,0.327,0.497,0.824,0.229,2.4,0.322,0.1,56,12.5,0.367,129
85,D.J. Artis,CHC,A,22-22,215,13.50%,24.20%,0.56,0.267,0.39,0.375,0.765,0.108,5.8,0.366,1.1,32,7.3,0.367,129
86,Ronnie Dawson,HOU,A,22-22,505,10.90%,20.00%,0.54,0.272,0.362,0.438,0.801,0.167,6.2,0.322,0.1,76,16.8,0.366,128
87,Daz Cameron,HOU,A,20-20,522,9.20%,21.50%,0.43,0.271,0.351,0.463,0.814,0.192,8.1,0.325,1.1,79,17,0.365,128
88,Robby Rinn,MIN,A,25-25,206,7.30%,13.60%,0.54,0.305,0.364,0.428,0.792,0.123,2.6,0.344,-0.1,30,6.5,0.365,127
89,Marty Costes,HOU,A,22-23,333,9.30%,13.50%,0.69,0.261,0.366,0.412,0.778,0.151,7.5,0.294,0.9,49,10.5,0.365,127
90,Chad Sedio,DET,A,23-23,307,6.80%,16.90%,0.4,0.268,0.34,0.471,0.81,0.202,4.3,0.292,-0.2,46,9.9,0.364,127
91,Geraldo Perdomo,ARI,A,19-19,385,14.50%,14.50%,1,0.268,0.394,0.357,0.751,0.089,6.1,0.318,0.6,57,12.3,0.364,128
92,Garrett Whitley,TBR,A,20-20,426,13.40%,28.60%,0.47,0.249,0.362,0.43,0.792,0.182,7.4,0.339,2.5,64,13.5,0.364,127
93,Keibert Ruiz,LAD,A,18-18,251,7.20%,12.00%,0.6,0.317,0.372,0.423,0.795,0.106,2.5,0.355,0,37,7.9,0.363,127
94,John Aiello,TOR,A,22-22,301,8.30%,31.90%,0.26,0.258,0.352,0.419,0.771,0.162,3.4,0.373,-0.1,44,9.4,0.363,127
95,Will Benson,CLE,A,20-21,765,15.60%,30.10%,0.52,0.212,0.34,0.45,0.79,0.239,5.8,0.255,2.5,111,22.9,0.363,126
96,Lazaro Armenteros,OAK,A,19-19,340,10.60%,33.80%,0.31,0.277,0.374,0.401,0.774,0.123,4.9,0.427,-0.9,49,10.1,0.362,126
97,Juan Yepez,STL,A,19-21,535,7.50%,20.60%,0.36,0.294,0.35,0.449,0.798,0.154,5.3,0.355,1.1,79,16.1,0.362,126
98,Tyler Stephenson,CIN,A,20-20,348,12.60%,16.70%,0.76,0.278,0.374,0.414,0.787,0.136,2.4,0.322,0,52,10.5,0.362,126
99,Jacob Amaya,LAD,A,19-20,589,16.00%,17.10%,0.93,0.262,0.383,0.376,0.759,0.114,4.4,0.314,-1.7,85,17.5,0.362,126
100,Chris Roller,LAD,A,21-22,469,9.40%,23.00%,0.41,0.265,0.351,0.425,0.776,0.16,7.6,0.339,1.4,68,13.7,0.361,125
101,Marcus Chiu,LAD,A,21-21,218,8.30%,25.20%,0.33,0.221,0.349,0.425,0.774,0.204,7.3,0.263,0.9,31,6.2,0.361,125
102,Cam Gibson,DET,A,23-23,303,8.30%,14.90%,0.56,0.274,0.334,0.479,0.814,0.205,7.8,0.29,0.8,45,9,0.361,125
103,Mitch Reeves,CLE,A,23-24,298,11.40%,20.10%,0.57,0.262,0.359,0.41,0.769,0.148,4.4,0.314,0.1,43,8.7,0.36,125
104,Ruben Cardenas,CLE,A,21-21,481,8.30%,18.70%,0.44,0.271,0.338,0.45,0.788,0.179,5.6,0.313,-2,69,14,0.36,125
