#,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
444,Marty Costes,HOU,A,22-23,77,284,333,74,48,14,7,5,45,33,31,0,45,17,1,0,7,13,4,0.261
445,Kaleo Johnson,TBR,A,22-22,60,238,258,68,47,13,1,7,26,37,14,0,59,5,1,0,8,4,1,0.286
446,Dan Robinson,LAD,A,22-22,94,321,374,77,58,13,4,2,37,40,50,0,68,2,1,0,4,6,3,0.24
447,Jawuan Harris,SDP,A,22-22,113,358,438,76,47,16,5,8,62,37,63,0,141,11,1,5,5,29,6,0.212
448,D.J. Artis,CHC,A,22-22,49,176,215,47,32,13,0,2,35,21,29,1,52,7,1,2,1,14,4,0.267
449,Scott Schreiber,HOU,A,22-23,89,319,360,77,49,18,1,9,40,33,35,0,112,5,1,0,3,10,2,0.241
450,Trey Dawson,HOU,A,21-22,124,415,472,84,62,16,2,4,56,49,48,0,126,8,1,0,8,11,9,0.202
451,Tyler Durna,CHC,A,22-22,76,263,300,80,54,21,1,4,33,42,31,1,38,5,1,0,10,2,6,0.304
452,Alvaro Rubalcaba,LAA,A,23-24,95,288,353,51,32,14,1,4,32,31,56,1,85,7,1,1,6,3,5,0.177
453,Brandon Riley,STL,A,21-22,127,437,494,101,76,21,3,1,45,36,56,0,110,0,1,0,12,14,5,0.231
454,Alex McKenna,HOU,A,20-21,77,286,317,73,60,8,2,3,27,27,23,0,93,7,1,0,5,7,9,0.255
455,Grant Little,SDP,A,21-21,70,254,290,65,50,15,0,0,26,21,29,0,44,3,1,3,6,6,0,0.256
456,Michael Davis,MIN,A,22-23,63,207,226,59,33,15,2,9,33,36,17,1,66,1,1,0,3,3,0,0.285
457,Lester Madden,OAK,A,20-20,105,391,420,83,58,19,4,2,43,38,22,0,118,5,1,1,5,5,6,0.212
458,Evan Edwards,MIA,A,22-22,68,256,288,73,50,14,1,8,32,48,28,0,74,3,1,0,2,3,0,0.285
459,Thomas Dillard,MIL,A,21-21,51,171,216,42,30,6,0,6,27,24,43,0,50,1,1,0,2,7,0,0.246
460,Andres Sotillo,TOR,A,23-24,60,203,233,53,42,9,0,2,23,16,17,0,55,9,1,2,8,2,3,0.261
461,Brandon Lopez,MIN,A,23-23,53,185,200,51,45,4,2,0,22,13,11,0,32,2,1,1,8,1,0,0.276
462,Drew Longley,DET,A,28-28,62,216,239,49,27,17,3,2,28,17,20,0,77,2,1,0,1,0,0,0.227
463,Alberto Mineo,CHC,A,22-22,98,349,405,97,73,20,4,0,46,44,47,3,66,7,1,1,5,3,0,0.278
464,Rod Boykin,SDP,A,22-22,69,205,235,51,32,10,3,6,31,20,23,0,77,2,1,4,5,7,4,0.249
465,Johnny Slater,SEA,A,21-21,52,177,201,38,27,6,3,2,17,9,18,1,54,2,1,3,0,5,4,0.215
